Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.52589881977561E-05,-1.21618571169921E-05,0.0608415705761093,0,0,0,3.08898899294127,0.0219224912970811,-7.72865524978861E-09,7.16069762909807E-08,0.0130807934439612,-8.11668167240751E-07,0.0264840545104941,0,0,0,0,0,0,package://YX-1/meshes/base_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YX-1/meshes/base_link.STL,,上平台-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-11/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-10/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-10/DM_8108_3D.stp-1;髋关节与身体连接处固定-2;髋中间-2;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-11/DM_8108_3D.stp-1;髋关节与身体连接处固定-1,坐标系3,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_yaw_Link,-0.0350037080503791,-0.000456591567301476,0.0372463735701034,0,0,0,0.395555517395699,0.000620205903518703,1.29896843186358E-06,-0.000164142746894831,0.000520634597553032,-2.11739117204493E-06,0.000575959612553862,0,0,0,0,0,0,package://YX-1/meshes/left_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/left_yaw_Link.STL,,yushu抱紧-2;A1_motor.step-2,坐标系25,基准轴1,left_yaw_joint,revolute,0.0001661,0.071324,-0.1324,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
left_roll_Link,0.0490548209357755,0.0415197888784591,2.64908123400603E-06,0,0,0,0.614935433967936,0.000679419603816697,-3.83852020499992E-05,1.42348828039911E-09,0.000915357380420451,-1.73941512323098E-08,0.000649397167942527,0,0,0,0,0,0,package://YX-1/meshes/left_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/left_roll_Link.STL,,停产-DM-J8006 减速电机V1.0-3D 20240822.stp-12/DM_8108_3D.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-12/8108_0001.stp-1;大腿与小腿连接-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-13/DM_8108_3D.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-13/8108_0001.stp-1,坐标系15,基准轴2,left_roll_joint,revolute,-0.024498,-0.00031955,0,0,0,0,left_yaw_Link,0.99991,0.013043,0,0,0,0,0,,,,,,,,
left_pitch_Link,-0.000175167874882766,0.0134604425761448,-0.121726001202457,0,0,0,0.191560909336763,0.000309384466899546,-1.58911049667417E-07,-1.18273702367413E-07,0.000321577323382544,8.79412629086622E-06,3.40195094387065E-05,0,0,0,0,0,0,package://YX-1/meshes/left_pitch_Link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YX-1/meshes/left_pitch_Link.STL,,大腿电机连接件-1;大腿（杆）-1;小腿与大腿连接-1,坐标系26,基准轴3,left_pitch_joint,revolute,0.057794,0.016155,0,0,0,0,left_roll_Link,-0.013043,0.99991,0,0,0,0,0,,,,,,,,
left_knee_Link,0.0165804991795376,-0.0061062790901476,-0.0984502346022404,0,0,0,0.343457668179325,0.000648958001306974,-2.59182818082286E-06,2.08662789533462E-05,0.000719817823739503,1.61695291664274E-06,0.000108035679316845,0,0,0,0,0,0,package://YX-1/meshes/left_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/left_knee_Link.STL,,摇杆下连接件-1;小腿与大腿连接件2-2;小腿-2;小腿脚踝连接-1;CYBER_GEAR1-1,坐标系18,基准轴4,left_knee_joint,revolute,-0.00019564,0.014999,-0.29322,0,0,0,left_pitch_Link,-0.013043,0.99991,0,0,0,0,0,,,,,,,,
left_ankle_Link,0.0112721039303255,0.00112317679745352,-0.0497621748696437,0,0,0,0.231347089996303,0.000117606919596764,-2.59166971451289E-06,2.8720704816765E-05,0.000307973388516554,6.95956113893796E-07,0.000249737250704842,0,0,0,0,0,0,package://YX-1/meshes/left_ankle_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/left_ankle_Link.STL,,玉足-1,坐标系19,基准轴5,left_ankle_joint,revolute,0.036954,0.00048203,-0.226,0,0,0,left_knee_Link,0.013043,-0.99991,0,0,0,0,0,,,,,,,,
right_yaw_Link,-0.0350037081688261,0.000456591333932558,0.0372463737519437,0,0,0,0.395555520464489,0.000620205896565006,-1.29910907708401E-06,-0.000164142746450215,0.000520634592407249,2.11734091953231E-06,0.000575959618213611,0,0,0,0,0,0,package://YX-1/meshes/right_yaw_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/right_yaw_Link.STL,,yushu抱紧-1;A1_motor.step-1,坐标系20,基准轴7,right_yaw_joint,revolute,0.0001661,-0.071324,-0.1324,0,0,0,base_link,0.99991,-0.013043,0,0,0,0,0,,,,,,,,
right_roll_Link,0.049054834658441,-0.0415197890574546,2.47325582666824E-06,0,0,0,0.61493543396794,0.000679419566639,3.83852029639554E-05,-1.40248579421081E-09,0.000915357380402942,-1.73858240682049E-08,0.000649397205137738,0,0,0,0,0,0,package://YX-1/meshes/right_roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/right_roll_Link.STL,,停产-DM-J8006 减速电机V1.0-3D 20240822.stp-14/8108_0001.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-14/DM_8108_3D.stp-1;大腿与小腿连接-2;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-15/DM_8108_3D.stp-1;停产-DM-J8006 减速电机V1.0-3D 20240822.stp-15/8108_0001.stp-1,坐标系21,基准轴7,right_roll_joint,revolute,-0.024498,0.00031955,0,0,0,0,right_yaw_Link,0.99991,-0.013043,0,0,0,0,0,,,,,,,,
right_pitch_Link,-0.00017599416070248,-0.0134604890978961,-0.121725978273735,0,0,0,0.191560880366818,0.000309384476776972,1.59229089346011E-07,-1.11180201651207E-07,0.000321577313248357,-8.79462487797804E-06,3.40195124396643E-05,0,0,0,0,0,0,package://YX-1/meshes/right_pitch_Link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://YX-1/meshes/right_pitch_Link.STL,,大腿电机连接件-2;大腿（杆）-2;小腿与大腿连接-2,坐标系24,基准轴8,right_pitch_joint,revolute,0.057794,-0.016155,0,0,0,0,right_roll_Link,0.013043,0.99991,0,0,0,0,0,,,,,,,,
right_knee_Link,0.016555009805745,0.00415228094848838,-0.0986051277840649,0,0,0,0.343457675133855,0.00064887135205594,-7.29118771975222E-07,1.94750783918288E-05,0.000719904486990651,1.0905276061046E-06,0.00010803568489468,0,0,0,0,0,0,package://YX-1/meshes/right_knee_Link.STL,1,1,1,1,0,0,0,0,0,0,package://YX-1/meshes/right_knee_Link.STL,,摇杆下连接件-3;小腿-3;小腿与大腿连接件2-3;小腿脚踝连接-2;CYBER_GEAR1-5,坐标系22,基准轴9,right_knee_joint,revolute,-0.00019564,-0.014999,-0.29322,0,0,0,right_pitch_Link,0.013043,0.99991,0,0,0,0,0,,,,,,,,
